ulke_kod,plaka,il,tarih,id
228,01,Adana,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,02,Adıyaman,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,03,Afyonkarahisar,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,04,Ağrı,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,05,Amasya,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,06,Ankara,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,07,Antalya,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,08,Artvin,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,09,Aydın,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,10,Balıkesir,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,11,Bilecik,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,12,Bingöl,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,13,Bitlis,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,14,Bolu,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,15,Burdur,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,16,Bursa,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,17,Çanakkale,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,18,Çankırı,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,19,Çorum,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,20,Denizli,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,21,Diyarbakır,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,22,Edirne,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,23,Elâzığ,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,24,Erzincan,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,25,Erzurum,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,26,Eskişehir,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,27,Gaziantep,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,28,Giresun,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,29,Gümüşhane,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,30,Hakkâri,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,31,Hatay,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,32,Isparta,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,33,Mersin,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,34,İstanbul,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
228,35,İzmir,2021-01-01 00:00:00.000000,00000000-0000-0000-0000-000000000000
